!
! NCEPGRIB2.TBL -- GRIB 1 parameter conversion table version 2
!
!ID# NAME                             UNITS                GNAM         SCALE   MISSING
!
128 MSLP (standard atm reduction)     Pa                   MSLP            -2  -9999.00
129 MSLP (MAPS reduction)             Pa                   MMSL            -2  -9999.00
130 MSLP (ETA reduction)              Pa                   EMSL            -2  -9999.00
!
131 Surface lifted index              K                    LIFT             0  -9999.00
132 Best (4 layer) lifted index       K                    LFT4             0  -9999.00
133 K index                           K                    KINX             0  -9999.00
134 Sweat index                       K                    SWET             0  -9999.00
135 Horizontal moisture divergence    kg kg**-1 s**-1      MCNV             0  -9999.00
136 Vertical speed shear              s**-1                VWSH             0  -9999.00
137 3-hr pressure tendency (stdatm)   Pa s**-1             PTND3           -2  -9999.00
138 Brunt-Vaisala freq (squared)      s**-2                BVSQ             0  -9999.00
139 Potential vorticity (density wt)  s**-1 m**-1          POTV             0  -9999.00
140 Categorical rain                  0,1                  WXTR             0  -9999.00
!
141 Categorical freezing rain         0,1                  WXTZ             0  -9999.00
142 Categorical ice pellets           0,1                  WXTP             0  -9999.00
143 Categorical snow                  0,1                  WXTS             0  -9999.00
144 Volumetric soil moisture content  fraction             SOIM             0  -9999.00
145 Potential evaporation rate        W/m**2               PEVP             0  -9999.00
146 Cloud workfunction                J/kg                 CWRK             0  -9999.00
147 Zonal flux of gravity wave stress N/m**2               UGWD             0  -9999.00
148 Meridional flux of grav wav strss N/m**2               VGWD             0  -9999.00
149 Potential vorticity               m**2/s/kg            PVOR             0  -9999.00
150 Covar merid-zonal wind            m**2 s**-2           CMZW             0  -9999.00
!
151 Covar temp-zonal wind             K m s**-1            CTZW             0  -9999.00
152 Covar temp-merid wind             K m s**-1            CTMW             0  -9999.00
153 Cloud water                       kg/kg                CWTR             0  -9999.00
154 Ozone mixing ratio                kg/kg                OZMR             0  -9999.00
155 Ground heat flux                  W m**-2              GHFX             0  -9999.00
156 Convective inhibition             J kg**-1             CINS             0  -9999.00
